inventory_id,part_num,color_id,quantity,is_spare
1,48379c01,72,1,f
1,48395,7,1,f
1,stickerupn0077,9999,1,f
1,upn0342,0,1,f
1,upn0350,25,1,f
3,2343,47,1,f
3,3003,29,1,f
3,30176,2,1,f
3,3020,15,1,f
3,3022,15,2,f
3,3023,15,1,f
3,30357,29,4,f
3,3039,15,1,f
3,3062b,15,1,f
3,3068b,29,1,f
3,3069b,29,2,f
3,3069b,27,5,f
3,33291,191,1,t
3,33291,191,3,f
3,3795,15,1,f
3,3941,27,1,f
3,3960,27,1,f
3,4032a,70,1,f
3,4865a,41,3,f
3,6141,27,1,t
3,6141,29,1,f
3,6141,29,1,t
3,6141,27,2,f
3,63965,15,1,f
3,85080,322,4,f
4,3069bpr0044,0,1,f
4,3298pr0035,8,1,f
4,3475b,1,2,f
4,3795,0,1,f
4,4589,42,2,f
4,4590,1,3,f
4,4596,0,1,f
4,4598,8,1,f
4,4740,42,1,f
4,6141,42,1,f
4,6141,42,1,t
4,6919,42,2,f
15,2360pr0002,2,1,f
15,2361pr0003,2,1,f
16,7049b,15,2,f
16,737,4,2,f
16,737bc01,4,2,f
16,upn0383b,4,4,f
17,12708pr0001,47,2,f
17,12825,0,4,f
17,2540,0,2,f
17,298c02,15,2,f
17,3021,15,1,f
17,3021,0,1,f
17,3022,1,1,f
17,3023,0,1,f
17,3024,15,6,f
17,3069b,15,2,f
17,3794b,0,3,f
17,44375b,15,1,f
17,47905,0,1,f
17,49668,0,2,f
17,52107,0,1,f
17,54200,15,1,f
17,6141,29,1,f
17,98138pr0008,15,2,f
21,3009,7,50,f
22,15573,72,1,f
22,2412b,179,3,f
22,2654,72,4,f
22,3020,0,2,f
22,3022,0,1,f
22,3023,71,2,f
22,3023,46,2,f
22,3024,0,1,t
22,3024,0,2,f
22,3024,46,4,f
22,3024,46,1,t
22,3070b,72,1,t
22,3070b,72,1,f
22,3666,72,1,f
22,3710,0,2,f
22,3795,71,1,f
22,4081b,72,1,f
22,41769,72,4,f
22,41770,72,4,f
22,43719,72,1,f
22,43722,71,2,f
22,43723,71,2,f
22,51739,71,3,f
22,54200,71,2,f
22,54200,71,1,t
22,54383,71,1,f
22,54384,71,1,f
22,6141,41,3,f
22,6141,41,1,t
22,85984,72,3,f
22,98138,71,1,f
22,98138,71,1,t
22,99206,71,2,f
25,88646,0,1,f
26,14226c21,0,3,f
26,2340pr0003,15,1,f
26,2340pr0004,15,1,f
26,2412b,383,2,f
26,2421,0,1,f
26,2432,4,1,f
26,2437,33,1,f
26,2454a,15,1,f
26,2460,7,1,f
26,2479,0,1,f
26,2486,4,1,f
26,2493b,0,2,f
26,2540,4,4,f
26,2547,8,1,f
26,2548,8,1,f
26,2569,0,3,f
26,2610,14,2,f
26,298c02,4,2,f
26,3001,15,1,f
26,3001,7,5,f
26,3003,14,2,f
26,3003,15,2,f
26,3003,2,1,f
26,3004,0,3,f
26,3006,14,1,f
26,3007,7,6,f
26,3008,15,3,f
26,30086,14,1,f
26,30089a,0,1,f
26,3008pr0037,14,2,f
26,3010,0,1,f
26,30151a,47,1,f
26,30162,0,1,f
26,30179,15,1,f
26,30180,15,3,f
26,30181,1,2,f
26,30183,0,1,f
26,30185c02pr0001,1,1,f
26,30187a,14,1,f
26,30189,14,1,f
26,30190,15,1,f
26,30191,7,1,f
26,3020,14,1,f
26,30235,0,1,f
26,30237a,1,2,f
26,30237a,14,1,f
26,30237a,15,2,f
26,30248,7,1,f
26,30249,15,4,f
26,30250pr0004,14,1,f
26,30251,33,1,f
26,30254,1,1,f
26,30256,15,1,f
26,30257,15,2,f
26,30258pr0007,15,1,f
26,30259pr0010,15,2,f
26,30261pr0012,15,1,f
26,30322,1,3,f
26,30338,6,1,f
26,30339,2,1,f
26,30340,25,5,f
26,30343c01,15,1,f
26,3037,4,2,f
26,3037pr0005,14,1,f
26,3037pr0013,7,1,f
26,3037pr0018,14,1,f
26,3039,15,1,f
26,3039,36,1,f
26,3039,34,1,f
26,3039pr0005,15,1,f
26,3040b,0,1,f
26,3040b,33,2,f
26,3062b,15,1,f
26,3068bpr0385,15,1,f
26,3069bpr0020,7,2,f
26,3069bpr0043,15,1,f
26,3127,7,1,f
26,32084,15,1,f
